Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
10.561,10.86,39.96,23.95,-37.07,-7.02
10.593,7.24,30.07,19.80,-48.45,-2.44
10.648,7.24,30.07,13.49,-43.92,-2.44
10.673,3.87,19.29,16.69,-52.55,-2.92
10.709,2.76,11.13,11.23,-44.39,1.22
10.756,1.53,3.94,8.68,-46.13,1.22
10.784,1.53,3.94,1.74,-27.65,2.67
10.801,2.06,2.10,1.26,-23.57,4.87
10.849,2.06,2.10,0.70,-23.86,4.87
10.863,3.62,6.24,8.67,-20.45,8.24
10.910,3.62,6.24,6.06,-23.04,8.24
10.923,5.04,11.98,14.02,-19.85,8.18
10.962,5.04,11.98,10.34,-22.81,8.18
10.978,7.89,21.20,20.15,-17.69,6.83
11.023,7.89,21.20,14.50,-23.37,6.83
11.034,10.58,29.80,23.18,-26.11,3.56
11.082,10.58,29.80,17.98,-30.43,3.56
11.092,14.42,41.21,29.68,-29.80,-4.21
11.131,14.42,41.21,22.69,-32.24,-4.21
11.138,19.90,51.81,34.36,-31.39,-4.24
11.188,19.90,51.81,27.95,-30.49,-4.24
11.200,28.21,61.25,37.45,-31.87,-8.63
11.257,28.21,61.25,32.16,-27.63,-8.63
11.275,42.17,70.87,42.38,-28.96,-6.96
11.307,52.37,76.60,40.82,-21.56,-8.67
11.363,52.37,76.60,37.38,-17.35,-8.67
11.385,64.06,81.40,40.50,-17.45,-6.55
11.417,67.41,82.65,37.98,-12.62,-6.75
11.482,67.41,82.65,37.35,-11.71,-6.75
11.499,62.03,80.93,37.04,-12.74,-5.16
11.522,51.24,76.75,35.64,-10.98,-5.15
11.575,51.24,76.75,36.23,-13.43,-5.15
11.592,37.92,69.64,33.73,-12.24,-1.70
11.644,29.61,62.62,31.42,-17.52,-1.70
11.675,29.61,62.62,35.06,-21.30,-1.76
11.687,21.33,51.89,30.19,-29.88,2.62
