Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
20.570,75.52,9.83
20.615,75.52,9.33
20.662,73.99,8.19
20.683,71.13,8.44
20.730,71.13,7.12
20.748,66.08,8.44
20.787,59.93,9.43
20.850,59.93,2.84
20.872,54.30,11.80
20.906,47.05,14.40
20.951,37.38,12.99
21.013,37.38,5.76
21.033,27.24,18.79
21.066,18.99,16.76
21.100,18.99,6.06
21.125,9.90,15.33
21.207,9.90,8.98
21.228,4.25,10.98
21.246,2.59,7.17
21.282,2.38,4.83
21.347,2.38,0.88
21.366,1.76,0.79
21.397,2.14,2.29
21.444,2.14,1.96
21.490,2.96,2.98
21.510,4.66,3.54
21.554,8.38,7.13
21.589,8.38,2.60
21.618,13.20,4.86
21.690,13.20,5.28
21.710,20.31,6.24
21.730,27.08,5.05
21.775,27.08,5.57
21.833,36.70,8.46
21.850,44.31,6.56
21.887,52.54,10.14
21.920,52.54,3.70
21.951,59.49,7.13
22.024,64.37,2.45
22.051,69.31,3.93
22.082,69.31,7.07
22.117,73.14,11.16
22.193,76.53,8.61
22.218,78.27,9.31
22.251,78.27,9.94
22.286,79.60,10.62
22.369,79.95,10.55
22.392,79.79,10.22
22.423,79.79,9.37
22.448,79.55,9.49
22.518,78.97,9.63
22.550,78.46,8.61
22.583,78.46,8.15
22.614,76.94,8.14
22.686,74.65,9.05
22.714,70.64,7.14
22.749,70.64,3.66
22.780,66.29,7.33
22.858,60.96,7.48
22.882,54.79,4.74
22.919,54.79,5.02
22.943,48.72,14.45
23.010,48.72,8.84
23.028,39.86,19.13
23.051,31.23,17.13
23.098,31.23,9.21
23.147,21.46,17.07
23.170,13.74,13.29
23.209,6.46,11.75
23.245,6.46,4.91
23.274,1.83,8.23
23.342,1.83,4.13
23.364,0.19,4.09
23.383,0.43,2.13
23.432,0.43,2.54
23.477,1.80,4.25
23.496,3.97,5.52
23.544,6.50,8.22
23.577,6.50,4.61
23.608,11.34,9.03
23.686,16.84,14.45
23.711,24.85,12.44
23.747,24.85,7.16
23.773,31.97,9.33
23.845,40.57,18.11
23.871,47.11,9.33
23.907,47.11,4.01
23.940,54.17,7.22
24.011,59.92,8.07
24.037,65.83,0.71
24.070,65.83,5.00
24.103,70.30,3.05
24.168,70.30,6.92
24.186,75.00,11.37
24.215,77.67,10.07
24.262,80.05,7.95
24.317,80.05,9.37
24.336,81.00,9.49
24.369,81.36,8.94
24.410,81.36,8.97
24.436,80.86,8.69
24.507,80.15,8.85
24.537,79.23,8.31
24.569,79.23,7.57
24.601,78.29,7.60
24.665,78.29,7.04
24.685,76.19,6.51
24.715,73.36,5.31
24.760,70.02,6.71
24.823,70.02,3.28
24.841,66.51,4.11
24.873,61.59,5.13
24.911,61.59,0.74
24.973,56.31,8.51
24.994,51.28,11.38
25.031,44.40,8.00
25.064,44.40,7.45
25.124,36.88,8.75
25.147,28.42,10.17
25.176,28.42,8.50
25.208,20.76,10.16
25.241,20.76,8.01
25.302,12.98,14.99
25.329,6.58,10.63
25.363,2.34,9.21
25.399,2.34,2.25
25.461,2.26,2.12
25.481,3.58,3.46
25.513,3.58,2.32
25.543,6.40,5.16
25.578,6.40,3.09
25.631,11.63,9.02
25.660,17.56,8.32
25.696,25.43,14.52
25.733,25.43,3.82
25.794,33.22,9.19
25.815,39.94,8.78
25.848,39.94,2.53
25.883,47.16,8.76
25.916,52.68,10.24
25.979,52.68,1.22
25.996,58.70,8.58
26.028,63.35,5.27
26.059,63.35,4.87
26.093,68.38,5.17
26.157,68.38,5.63
26.175,71.90,12.13
26.206,75.36,10.13
26.237,75.36,8.53
26.267,77.40,11.53
26.328,78.83,10.34
26.357,79.34,8.79
26.393,79.34,8.44
26.425,78.77,8.11
26.490,78.77,8.01
26.507,77.42,5.99
